crash_ref_id,city_name_first,state_name_first,lat_coord_first,lon_coord_first,incident_year_first,incident_month_first,incident_time_first,hour_of_day_first,weekday_name_first,weekend_flag_first,is_night_time_first,peak_hour_flag_first,festival_name_first,route_category_first,lane_count_first,signal_present_flag_first,weather_condition_first,visibility_level_first,temp_celsius_first,congestion_level_first,road_surface_condition_first,primary_cause_first,alcohol_suspected_flag_first,road_hazard_flag_first,vehicle_count_first,dominant_vehicle_type_first,occupants_per_vehicle_first,total_occupants_in_crash_first,crash_severity_first,mean_speed_at_impact_kmph,max_speed_at_impact_kmph,min_speed_at_impact_kmph,speed_at_impact_std,mean_passenger_age,max_passenger_age,min_passenger_age,passenger_age_std,helmet_seatbelt_usage_rate,airbag_deployed_flag_mean,male_ratio,female_ratio,driver_ratio,rider_ratio,pillion_ratio,passenger_ratio,valid_license_ratio,invalid_license_ratio,occupant_record_count
10,chandigarh,punjab,30.651926,76.876892,2022,3,13:00,13,wednesday,0,0,0,,highway,1,1,fog,low,34,medium,damp,poor_road,0,1,3,two_wheeler,1,3,minor,22.799999999999997,37.3,7.7,14.809118812407442,21.666666666666668,34,10,12.013880860626733,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,3
11,bangalore,karnataka,12.936802,77.469957,2022,1,2:00,2,thursday,0,1,0,,urban,5,1,rain,medium,33,low,flooded,drunk_driving,1,0,2,truck,1,2,minor,50.4,57.0,43.8,9.333809511662428,33.0,35,31,2.8284271247461903,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,2
12,mumbai,maharashtra,19.132036,72.76057,2023,11,9:00,9,tuesday,0,0,1,,highway,5,1,rain,low,17,medium,wet,weather,0,0,4,auto_rickshaw,2,8,major,43.65,71.1,31.6,13.061502866931397,35.25,48,29,8.119641089886388,0.375,0.0,0.75,0.25,0.25,0.0,0.0,0.75,0.875,0.0,8
13,pune,maharashtra,18.532452,73.841799,2024,3,8:00,8,monday,0,0,1,holi,highway,6,0,rain,low,40,medium,flooded,overspeeding,0,0,5,two_wheeler,1,5,major,56.2,73.7,38.3,16.40381053292192,26.0,31,18,4.847679857416329,0.4,0.0,0.6,0.4,0.0,0.8,0.2,0.0,1.0,0.0,5
14,chandigarh,punjab,30.721892,76.711388,2025,2,18:00,18,sunday,1,0,1,,urban,5,1,rain,medium,23,high,flooded,overspeeding,0,0,4,two_wheeler,1,4,major,59.4,83.5,40.3,20.620701572287338,31.0,38,24,6.2182527020592095,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.75,0.0,4
15,chandigarh,punjab,30.772308,76.768413,2024,3,8:00,8,monday,0,0,1,,rural,1,0,clear,high,23,high,dry,drunk_driving,1,0,4,two_wheeler,2,8,minor,26.45,52.3,10.1,15.66041415252392,27.125,37,13,8.6427095619041,0.25,0.0,0.25,0.75,0.0,0.625,0.375,0.0,0.75,0.125,8
16,hyderabad,telangana,17.382285,78.551704,2023,8,11:00,11,thursday,0,0,0,,urban,6,0,rain,low,20,low,wet,overspeeding,0,0,5,two_wheeler,2,10,major,59.55,86.2,30.3,16.982163845896935,26.3,48,10,9.87758405009376,0.2,0.0,0.8,0.2,0.0,0.6,0.4,0.0,0.6,0.1,10
17,chennai,tamil_nadu,13.161404,80.197819,2023,9,21:00,21,tuesday,0,1,0,,urban,1,1,fog,low,30,medium,damp,distraction,0,0,5,car,1,5,fatal,79.16,89.9,65.8,10.996272095578576,33.8,43,21,8.78635305459552,0.4,0.8,0.8,0.2,0.2,0.0,0.0,0.8,0.8,0.0,5
18,hyderabad,telangana,17.570411,78.310647,2024,8,18:00,18,wednesday,0,0,1,,urban,4,1,fog,low,21,high,damp,distraction,0,0,1,car,1,1,fatal,78.2,78.2,78.2,,34.0,34,34,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
19,chandigarh,punjab,30.629812,76.765481,2024,2,2:00,2,sunday,1,1,0,,urban,5,1,fog,low,36,low,damp,poor_road,0,1,2,two_wheeler,2,4,minor,27.075,55.6,5.0,23.577019178287433,26.5,37,19,8.582928793055823,0.5,0.0,0.75,0.25,0.0,0.5,0.5,0.0,1.0,0.0,4
20,kolkata,west_bengal,22.459848,88.361745,2022,11,1:00,1,friday,0,1,0,,highway,6,1,fog,low,30,low,damp,drunk_driving,1,0,5,car,2,10,fatal,88.56,105.2,73.7,10.111291817677017,25.8,45,6,14.006347767272445,0.7,0.7,0.6,0.4,0.3,0.0,0.0,0.7,0.8,0.0,10
21,kolkata,west_bengal,22.692541,88.209956,2023,12,0:00,0,saturday,1,1,0,,urban,3,0,fog,low,25,medium,damp,weather,0,0,4,two_wheeler,1,4,minor,41.85,49.2,26.5,10.377700451769973,29.75,35,20,7.088723439378913,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,4
22,bangalore,karnataka,12.911401,77.624696,2024,8,3:00,3,tuesday,0,1,0,,urban,1,0,rain,low,26,medium,flooded,distraction,0,0,3,two_wheeler,2,6,major,58.13333333333333,76.3,39.7,14.277067859566495,29.0,41,14,9.85900603509299,0.5,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.8333333333333334,0.0,6
23,chennai,tamil_nadu,12.98416,80.153974,2023,7,23:00,23,wednesday,0,1,0,,urban,2,0,clear,high,36,medium,damaged_pavement,distraction,0,0,3,two_wheeler,2,6,minor,26.95,42.6,10.0,10.694250791897487,25.166666666666668,38,19,6.968978882638882,0.3333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,0.5,0.5,0.0,0.5,0.16666666666666666,6
24,delhi,delhi,28.528171,77.003017,2023,3,1:00,1,sunday,1,1,0,,highway,5,1,clear,high,29,high,dry,drunk_driving,1,0,3,car,3,9,minor,33.58888888888889,45.5,11.5,10.081101681419105,32.888888888888886,50,17,10.325265667822359,0.3333333333333333,0.0,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,9
25,delhi,delhi,28.631253,77.168852,2022,11,14:00,14,wednesday,0,0,0,,highway,4,0,rain,low,32,high,wet,overspeeding,0,0,1,auto_rickshaw,3,3,major,67.73333333333333,82.6,59.6,12.893926218702093,26.0,30,19,6.082762530298219,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,3
26,chennai,tamil_nadu,12.964354,80.262971,2024,10,13:00,13,friday,0,0,0,,urban,6,0,clear,high,39,high,dry,weather,0,0,1,two_wheeler,1,1,major,61.2,61.2,61.2,,21.0,21,21,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
27,chennai,tamil_nadu,13.171632,80.200311,2023,9,5:00,5,tuesday,0,1,0,,highway,4,1,rain,medium,29,high,flooded,weather,0,0,1,car,4,4,minor,30.125,38.2,20.6,8.246767043312591,34.75,56,20,16.070158679988197,0.5,0.0,0.25,0.75,0.0,0.0,0.0,1.0,0.75,0.25,4
28,mumbai,maharashtra,18.876038,72.816062,2024,1,8:00,8,tuesday,0,0,1,,rural,3,1,rain,medium,28,high,wet,overspeeding,0,0,1,car,3,3,minor,38.733333333333334,43.7,31.7,6.261256529909419,32.666666666666664,52,15,18.556220879622373,1.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,3
29,delhi,delhi,28.494878,77.089734,2025,4,17:00,17,tuesday,0,0,1,,urban,6,0,fog,low,17,high,damp,drunk_driving,1,0,4,two_wheeler,1,4,minor,33.65,59.8,13.7,19.158722991542692,24.25,35,12,9.742518497116988,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.25,4
30,bangalore,karnataka,13.181455,77.704682,2023,5,17:00,17,sunday,1,0,1,,rural,3,1,clear,high,36,high,damaged_pavement,distraction,0,0,1,car,3,3,minor,36.56666666666667,45.4,29.8,8.00270787504663,33.0,40,24,8.18535277187245,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,3
31,mumbai,maharashtra,19.277812,72.889938,2024,12,7:00,7,tuesday,0,0,0,,rural,6,0,clear,high,24,low,dry,poor_road,0,1,3,two_wheeler,2,6,minor,37.03333333333333,48.0,26.2,6.96869189063964,24.666666666666668,40,17,8.358628276617322,0.5,0.0,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,6
32,kolkata,west_bengal,22.644485,88.376914,2024,10,7:00,7,friday,0,0,0,,urban,6,1,fog,low,18,low,damp,overspeeding,0,0,5,two_wheeler,1,5,minor,32.660000000000004,43.3,18.8,10.554761958471637,28.0,34,23,4.636809247747852,0.6,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.4,0.4,5
33,bangalore,karnataka,13.007483,77.745779,2023,10,3:00,3,monday,0,1,0,,highway,1,0,rain,medium,23,medium,wet,drunk_driving,1,0,4,truck,1,4,minor,41.55,55.7,26.5,12.232606699582336,37.75,48,33,6.946221994724902,0.5,0.0,0.75,0.25,0.5,0.0,0.0,0.5,0.75,0.0,4
34,delhi,delhi,28.767686,77.102505,2022,6,17:00,17,thursday,0,0,1,,rural,1,1,fog,low,27,medium,damp,poor_road,0,1,5,truck,2,10,minor,35.989999999999995,54.0,10.0,13.224678109924307,39.0,46,22,7.760297817881877,0.7,0.0,0.4,0.6,0.6,0.0,0.0,0.4,0.6,0.1,10
35,chandigarh,punjab,30.79305,76.864728,2023,12,4:00,4,thursday,0,1,0,,highway,6,0,clear,high,35,low,dry,overspeeding,0,0,5,auto_rickshaw,2,10,minor,29.439999999999998,54.3,9.8,15.550648432353764,38.3,52,21,10.995453605922767,0.7,0.0,0.8,0.2,0.4,0.0,0.0,0.6,0.9,0.1,10
36,delhi,delhi,28.513789,77.26605,2024,1,14:00,14,tuesday,0,0,0,,rural,6,1,fog,low,24,high,damp,drunk_driving,1,0,1,two_wheeler,1,1,minor,18.9,18.9,18.9,,13.0,13,13,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
37,chennai,tamil_nadu,12.941766,80.271836,2023,2,18:00,18,sunday,1,0,1,,highway,5,1,clear,high,32,low,dry,weather,0,0,4,two_wheeler,1,4,fatal,79.425,90.9,74.9,7.666974631495795,29.5,36,19,7.852812659593164,0.5,0.0,0.25,0.75,0.0,0.75,0.25,0.0,0.5,0.25,4
38,pune,maharashtra,18.497326,73.919761,2023,12,6:00,6,monday,0,0,0,,rural,5,0,rain,medium,20,low,wet,drunk_driving,1,0,2,car,1,2,minor,40.099999999999994,47.8,32.4,10.889444430272833,10.0,13,7,4.242640687119285,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2
39,kolkata,west_bengal,22.568337,88.326718,2023,9,1:00,1,saturday,1,1,0,,rural,4,1,rain,medium,30,high,wet,weather,0,0,4,car,4,16,minor,35.7375,53.9,14.0,11.50297787531559,27.6875,41,13,8.776626155116023,0.5,0.0,0.6875,0.3125,0.375,0.0,0.0,0.625,0.6875,0.125,16
40,mumbai,maharashtra,18.945509,72.865677,2024,11,22:00,22,tuesday,0,1,0,,highway,5,1,rain,medium,40,high,flooded,distraction,0,0,2,two_wheeler,1,2,minor,49.7,57.9,41.5,11.596551211459381,25.5,30,21,6.363961030678928,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,2
41,chandigarh,punjab,30.739178,76.722246,2023,7,9:00,9,friday,0,0,1,,urban,4,0,rain,medium,29,high,wet,drunk_driving,1,0,3,car,3,9,fatal,83.98888888888888,102.7,66.5,12.094672840185101,34.333333333333336,60,15,14.062361110425234,0.5555555555555556,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.0,0.0,0.6666666666666666,0.8888888888888888,0.0,9
42,hyderabad,telangana,17.36441,78.442288,2022,3,22:00,22,tuesday,0,1,0,,urban,4,1,rain,medium,20,medium,wet,overspeeding,0,0,1,two_wheeler,2,2,major,54.05,58.8,49.3,6.7175144212722016,31.0,35,27,5.656854249492381,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,2
43,chennai,tamil_nadu,13.174093,80.150346,2025,1,13:00,13,monday,0,0,0,,highway,2,1,clear,high,20,low,dry,weather,0,0,1,truck,2,2,minor,31.2,46.9,15.5,22.20315292925759,35.0,37,33,2.8284271247461903,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,2
44,chandigarh,punjab,30.75772,76.718682,2022,11,0:00,0,tuesday,0,1,0,,rural,3,1,rain,medium,26,low,wet,drunk_driving,1,0,2,two_wheeler,1,2,major,62.3,65.1,59.5,3.959797974644662,33.0,38,28,7.0710678118654755,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,2
45,bangalore,karnataka,13.032625,77.614829,2024,6,9:00,9,friday,0,0,1,,urban,2,1,rain,medium,21,high,wet,distraction,0,0,1,car,2,2,minor,10.85,13.9,7.8,4.313351365237941,15.0,25,5,14.142135623730951,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,2
46,chandigarh,punjab,30.774779,76.862232,2025,4,11:00,11,friday,0,0,0,,urban,6,1,rain,low,31,low,wet,poor_road,0,1,4,two_wheeler,1,4,major,63.175,74.2,53.8,10.75372028648691,19.0,40,3,16.268579122549905,0.5,0.0,0.25,0.75,0.0,0.75,0.25,0.0,0.5,0.0,4
47,delhi,delhi,28.683622,77.273941,2023,2,15:00,15,monday,0,0,0,,rural,2,1,rain,medium,16,medium,wet,poor_road,0,1,3,car,3,9,major,63.08888888888888,97.8,44.0,16.93741748647388,34.111111111111114,49,19,9.360080721399314,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.0,0.0,0.6666666666666666,0.8888888888888888,0.0,9
48,hyderabad,telangana,17.384544,78.420669,2022,5,14:00,14,monday,0,0,0,,highway,4,0,rain,low,22,high,wet,weather,0,0,2,car,4,8,major,65.05,107.5,35.0,21.92650060021956,32.625,48,17,11.070391656512042,0.75,0.875,0.375,0.625,0.25,0.0,0.0,0.75,0.875,0.0,8
49,hyderabad,telangana,17.217784,78.280672,2024,12,13:00,13,monday,0,0,0,,rural,3,1,fog,low,31,medium,damp,distraction,0,0,2,two_wheeler,2,4,major,66.775,91.9,49.8,19.00743275668758,32.0,43,16,12.569805089976535,1.0,0.0,0.75,0.25,0.0,0.75,0.25,0.0,0.75,0.0,4
50,pune,maharashtra,18.482992,73.944129,2024,2,9:00,9,thursday,0,0,1,,highway,2,1,clear,high,32,high,dry,overspeeding,0,0,3,truck,2,6,major,73.16666666666667,85.9,61.2,8.021388076054334,33.166666666666664,44,10,12.188792666489435,0.8333333333333334,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.8333333333333334,0.16666666666666666,6
51,hyderabad,telangana,17.224481,78.470636,2023,2,7:00,7,thursday,0,0,0,,rural,3,1,fog,low,17,medium,damp,drunk_driving,1,0,2,auto_rickshaw,1,2,major,74.25,81.4,67.1,10.111626970967638,28.0,34,22,8.48528137423857,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2
52,bangalore,karnataka,12.863932,77.797043,2024,7,2:00,2,sunday,1,1,0,,urban,4,0,fog,low,15,low,damp,drunk_driving,1,0,1,truck,2,2,major,66.75,80.3,53.2,19.162593770155436,33.5,34,33,0.7071067811865476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2
53,mumbai,maharashtra,19.090552,72.9844,2023,3,21:00,21,tuesday,0,1,0,,rural,1,1,rain,low,29,medium,wet,poor_road,0,1,3,truck,2,6,minor,33.983333333333334,58.4,15.3,15.382511715148038,39.333333333333336,51,30,8.524474568362947,0.6666666666666666,0.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.6666666666666666,0.8333333333333334,0.0,6
54,chandigarh,punjab,30.790067,76.805399,2024,9,3:00,3,monday,0,1,0,,highway,5,1,rain,low,25,low,flooded,weather,0,0,3,car,1,3,major,62.93333333333333,70.3,58.1,6.482540654198267,37.0,54,10,23.643180835073778,1.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,3
55,delhi,delhi,28.502883,77.165457,2022,11,6:00,6,thursday,0,0,0,,urban,5,1,fog,low,32,medium,damp,drunk_driving,1,0,3,truck,1,3,minor,38.666666666666664,44.9,33.5,5.77436865235788,41.666666666666664,45,37,4.163331998932264,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,3
56,chandigarh,punjab,30.774233,76.72531,2023,9,0:00,0,thursday,0,1,0,,urban,3,0,clear,high,40,low,damaged_pavement,distraction,0,0,2,two_wheeler,1,2,major,54.3,61.8,46.8,10.606601717798213,28.0,30,26,2.8284271247461903,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,2
57,mumbai,maharashtra,19.232608,72.869852,2023,6,6:00,6,sunday,1,0,0,,urban,6,0,fog,low,21,medium,damp,weather,0,0,2,two_wheeler,2,4,major,69.025,88.7,56.2,13.906443350715762,32.25,42,26,7.135591542869215,0.5,0.0,0.75,0.25,0.0,0.5,0.5,0.0,0.5,0.25,4
58,chennai,tamil_nadu,12.959773,80.153419,2022,6,2:00,2,tuesday,0,1,0,,urban,1,0,clear,high,31,low,dry,overspeeding,0,0,1,two_wheeler,1,1,minor,34.8,34.8,34.8,,27.0,27,27,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
59,chennai,tamil_nadu,12.985135,80.226248,2025,3,23:00,23,friday,0,1,0,,rural,2,0,rain,low,25,high,wet,overspeeding,0,0,4,two_wheeler,2,8,fatal,82.1,100.7,54.1,17.767064232128263,27.375,42,18,7.463003991117019,0.625,0.0,0.625,0.375,0.0,0.25,0.75,0.0,0.75,0.125,8
60,mumbai,maharashtra,19.061169,72.872827,2024,4,14:00,14,wednesday,0,0,0,,urban,5,1,clear,high,19,low,dry,poor_road,0,1,2,two_wheeler,2,4,minor,34.775,59.8,14.4,19.017601496157884,28.0,36,24,5.41602560309064,0.5,0.0,0.75,0.25,0.0,0.5,0.5,0.0,0.75,0.0,4
61,delhi,delhi,28.463133,76.976698,2024,12,9:00,9,tuesday,0,0,1,,rural,1,1,rain,medium,39,medium,flooded,distraction,0,0,1,two_wheeler,2,2,major,52.75,55.5,50.0,3.8890872965260113,21.5,29,14,10.606601717798213,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,2
62,chennai,tamil_nadu,12.852053,80.121615,2023,5,14:00,14,saturday,1,0,0,,urban,6,1,rain,medium,27,high,wet,distraction,0,0,3,auto_rickshaw,2,6,major,62.26666666666667,71.9,55.0,6.246492349044118,34.833333333333336,48,24,9.703951085339757,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.8333333333333334,0.0,6
63,chennai,tamil_nadu,13.017299,80.224813,2024,4,0:00,0,tuesday,0,1,0,,rural,3,0,fog,low,26,low,damp,overspeeding,0,0,4,two_wheeler,1,4,major,52.325,73.5,32.1,18.326006111534504,26.5,30,23,3.1091263510296048,0.5,0.0,0.75,0.25,0.0,0.75,0.25,0.0,0.25,0.5,4
64,pune,maharashtra,18.560997,73.811173,2024,8,23:00,23,saturday,1,1,0,,rural,2,1,fog,low,24,medium,damp,drunk_driving,1,0,2,two_wheeler,1,2,major,74.2,75.4,73.0,1.697056274847718,25.5,32,19,9.192388155425117,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,2
65,chennai,tamil_nadu,12.97141,80.197487,2023,12,7:00,7,monday,0,0,0,,rural,4,1,rain,medium,18,high,flooded,drunk_driving,1,0,1,car,1,1,major,51.8,51.8,51.8,,60.0,60,60,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
66,mumbai,maharashtra,19.264702,72.886613,2022,9,10:00,10,thursday,0,0,1,,highway,1,1,clear,high,21,high,dry,poor_road,0,1,2,two_wheeler,1,2,major,64.3,79.1,49.5,20.9303607231218,26.0,26,26,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,2
67,mumbai,maharashtra,18.811624,72.877651,2022,2,5:00,5,sunday,1,1,0,,rural,2,1,fog,low,17,high,damp,drunk_driving,1,0,5,auto_rickshaw,1,5,minor,30.5,44.5,18.2,10.219344401672743,29.6,46,21,11.013627921806693,0.2,0.0,1.0,0.0,0.2,0.0,0.0,0.8,0.4,0.4,5
68,chandigarh,punjab,30.674067,76.774623,2024,4,21:00,21,tuesday,0,1,0,,rural,4,0,clear,high,36,high,dry,distraction,0,0,3,two_wheeler,2,6,major,65.73333333333333,91.1,26.2,21.502340957827517,34.833333333333336,46,20,9.304120950775879,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.0,6
69,mumbai,maharashtra,19.208566,72.896859,2023,5,6:00,6,friday,0,0,0,,highway,6,1,fog,low,34,low,damp,poor_road,0,1,1,truck,2,2,major,76.65,77.0,76.3,0.49497474683058024,32.0,34,30,2.8284271247461903,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,2
70,hyderabad,telangana,17.530898,78.305176,2024,11,19:00,19,tuesday,0,0,1,,highway,2,1,fog,low,38,low,damp,poor_road,0,1,3,auto_rickshaw,2,6,minor,30.983333333333334,57.1,5.0,17.2871532262159,31.833333333333332,48,19,11.617515511789371,0.5,0.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.8333333333333334,1.0,0.0,6
71,pune,maharashtra,18.442448,73.878574,2024,3,14:00,14,sunday,1,0,0,,urban,4,0,fog,low,19,high,damp,drunk_driving,1,0,2,two_wheeler,1,2,major,62.550000000000004,64.4,60.7,2.616295090390228,27.0,31,23,5.656854249492381,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,2
72,delhi,delhi,28.47365,77.060874,2023,3,11:00,11,friday,0,0,0,,highway,2,1,clear,high,21,high,dry,weather,0,0,5,two_wheeler,2,10,fatal,79.76,118.8,61.3,16.440613667919386,30.8,45,25,5.692099788303083,0.9,0.0,0.4,0.6,0.0,0.5,0.5,0.0,0.8,0.0,10
73,bangalore,karnataka,12.984625,77.767823,2022,9,6:00,6,wednesday,0,0,0,,rural,1,1,rain,low,19,low,wet,distraction,0,0,1,auto_rickshaw,2,2,fatal,84.4,90.4,78.4,8.48528137423857,25.0,34,16,12.727922061357855,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2
74,bangalore,karnataka,12.954595,77.488507,2024,2,13:00,13,sunday,1,0,0,,highway,1,1,fog,low,29,medium,damp,overspeeding,0,0,2,auto_rickshaw,2,4,major,72.4,95.6,60.6,16.019155200363503,28.0,42,14,13.589211407093005,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,4
